wTask,Description,Actions,Objects
Infrastructure Task 51,Configure walkways and design UPS in the parking lot.,"schedule, calibrate, design, maintain","fiber cables, paint, whiteboards, pipes"
Infrastructure Task 52,Verify switches and approve elevators in the academic blocks.,"schedule, plan, calibrate, install, audit","fire extinguishers, chairs, doors, signs"
Infrastructure Task 53,Plan fuel tanks and document server room in the auditorium.,"rectify, clean, calibrate, replace","routers, fiber cables, doors, faucets, lighting fixtures"
Infrastructure Task 54,Assess paint and clean fiber cables in the student hostels.,"replace, verify, audit, approve","fiber cables, water tanks, security cameras, desks"
Infrastructure Task 55,Audit fire extinguishers and maintain server room in the campus grounds.,"rectify, report, plan, mark","routers, generators, whiteboards, lighting fixtures"
Infrastructure Task 56,Repair switches and schedule fire extinguishers in the auditorium.,"design, upgrade, supervise, configure","elevators, whiteboards, pipes, corridors"
Infrastructure Task 57,Refuel paint and replace security cameras in the laboratory.,"configure, plan, design, inspect, assess","wiring, desks, lighting fixtures, HVAC units, UPS"
Infrastructure Task 58,Test whiteboards and supervise ramps in the sports complex.,"configure, schedule, maintain, document, inspect","classrooms, switches, elevators, security cameras, faucets"
Infrastructure Task 59,Maintain landscaping tools and design wiring in the academic blocks.,"maintain, clean, inspect, mark, replace","HVAC units, routers, faucets, fire extinguishers, water tanks"
Infrastructure Task 60,Assess solar panels and clean control panels in the academic blocks.,"inspect, document, design, clean","desks, faucets, UPS, roofing, HVAC units"
Infrastructure Task 61,Schedule walkways and monitor signs in the parking lot.,"refuel, verify, supervise, inspect, paint","exit signs, whiteboards, server room, fiber cables, switches"
Infrastructure Task 62,Clean chairs and repair security cameras in the laboratory.,"paint, clean, supervise, monitor","handrails, ramps, landscaping tools, desks, server room"
Infrastructure Task 63,Inspect doors and repair walkways in the cafeteria.,"verify, replace, rectify, schedule","wiring, chairs, fuel tanks, solar panels"
Infrastructure Task 64,Maintain paint and audit fire extinguishers in the academic blocks.,"supervise, repair, verify, plan, report","doors, generators, security cameras, corridors"
Infrastructure Task 65,Mark roofing and assess HVAC units in the parking lot.,"inspect, test, install, report, repair","corridors, chairs, parking sensors, classrooms"
Infrastructure Task 66,Verify solar panels and plan security cameras in the library.,"monitor, test, approve, assess","doors, chairs, lighting fixtures, generators"
Infrastructure Task 67,Install roofing and refuel fiber cables in the parking lot.,"design, assess, test, upgrade, supervise","paint, solar panels, handrails, control panels"
Infrastructure Task 68,Replace switches and paint fiber cables in the academic blocks.,"audit, clean, calibrate, repair","switches, whiteboards, signs, water tanks, classrooms"
Infrastructure Task 69,Plan routers and inspect security cameras in the student hostels.,"mark, clean, verify, assess, install","routers, corridors, UPS, chairs"
Infrastructure Task 70,Design routers and schedule walkways in the parking lot.,"document, approve, schedule, refuel, calibrate","fiber cables, lighting fixtures, roofing, ramps"
Infrastructure Task 71,Inspect pipes and refuel solar panels in the library.,"mark, audit, maintain, monitor, plan","control panels, routers, landscaping tools, paint"
Infrastructure Task 72,Refuel desks and monitor security cameras in the student hostels.,"report, mark, verify, install","fuel tanks, UPS, roofing, signs, solar panels"
Infrastructure Task 73,Replace solar panels and schedule wiring in the lecture halls.,"upgrade, plan, maintain, clean, mark","fire extinguishers, water tanks, paint, ramps, signs"
Infrastructure Task 74,Schedule switches and assess fuel tanks in the auditorium.,"inspect, rectify, configure, approve, assess","desks, fiber cables, classrooms, elevators, doors"
Infrastructure Task 75,Audit walkways and paint elevators in the library.,"schedule, inspect, refuel, plan, repair","wiring, elevators, corridors, ramps"
Infrastructure Task 76,Report security cameras and maintain paint in the lecture halls.,"rectify, paint, plan, audit, calibrate","routers, water tanks, elevators, fuel tanks, chairs"
Infrastructure Task 77,Schedule elevators and test security cameras in the student hostels.,"audit, mark, maintain, calibrate, plan","wiring, parking sensors, switches, UPS"
Infrastructure Task 78,Test handrails and upgrade handrails in the library.,"audit, mark, report, clean","solar panels, whiteboards, server room, pipes"
Infrastructure Task 79,Approve desks and mark elevators in the student hostels.,"approve, supervise, audit, paint","pipes, chairs, parking sensors, switches, elevators"
Infrastructure Task 80,Install wiring and replace parking sensors in the academic blocks.,"mark, supervise, monitor, verify","switches, handrails, HVAC units, water tanks, lighting fixtures"
Infrastructure Task 81,Clean HVAC units and repair control panels in the library.,"monitor, calibrate, mark, paint","switches, HVAC units, generators, roofing, corridors"
Infrastructure Task 82,Repair routers and audit switches in the library.,"design, replace, test, calibrate","paint, doors, corridors, HVAC units, pipes"
Infrastructure Task 83,Rectify security cameras and configure chairs in the student hostels.,"test, rectify, schedule, report","control panels, solar panels, parking sensors, paint"
Infrastructure Task 84,Verify doors and verify exit signs in the cafeteria.,"report, verify, document, upgrade","exit signs, paint, water tanks, lighting fixtures"
Infrastructure Task 85,Monitor landscaping tools and supervise pipes in the lecture halls.,"maintain, schedule, report, refuel","lighting fixtures, corridors, generators, fuel tanks, roofing"
Infrastructure Task 86,Design generators and document lighting fixtures in the student hostels.,"inspect, refuel, test, plan, verify","solar panels, elevators, ramps, corridors"
Infrastructure Task 87,Replace fuel tanks and inspect lighting fixtures in the campus grounds.,"design, plan, calibrate, schedule","control panels, doors, routers, walkways"
Infrastructure Task 88,Schedule chairs and audit parking sensors in the sports complex.,"verify, rectify, test, document, assess","lighting fixtures, solar panels, faucets, fiber cables, corridors"
Infrastructure Task 89,Inspect faucets and configure fiber cables in the auditorium.,"mark, schedule, plan, test, configure","lighting fixtures, walkways, classrooms, doors"
Infrastructure Task 90,Configure doors and audit parking sensors in the campus grounds.,"calibrate, upgrade, test, configure, repair","control panels, exit signs, elevators, switches, whiteboards"
Infrastructure Task 91,Clean desks and inspect fuel tanks in the laboratory.,"refuel, report, configure, verify, supervise","classrooms, water tanks, HVAC units, fuel tanks"
Infrastructure Task 92,Inspect corridors and audit fiber cables in the parking lot.,"clean, inspect, upgrade, mark","routers, handrails, water tanks, doors, exit signs"
Infrastructure Task 93,Verify signs and inspect corridors in the parking lot.,"clean, document, approve, calibrate, test","handrails, doors, roofing, elevators"
Infrastructure Task 94,Inspect roofing and audit classrooms in the lecture halls.,"configure, test, rectify, report","classrooms, corridors, desks, signs"
Infrastructure Task 95,Audit switches and test fiber cables in the sports complex.,"clean, repair, supervise, maintain","handrails, server room, whiteboards, chairs"
Infrastructure Task 96,Assess wiring and report corridors in the auditorium.,"verify, plan, refuel, approve, maintain","HVAC units, water tanks, signs, lighting fixtures"
Infrastructure Task 97,Schedule landscaping tools and mark HVAC units in the administration building.,"inspect, rectify, upgrade, document, verify","chairs, HVAC units, roofing, ramps, fuel tanks"
Infrastructure Task 98,Configure HVAC units and verify corridors in the administration building.,"maintain, schedule, audit, install, paint","lighting fixtures, signs, roofing, UPS, corridors"
Infrastructure Task 99,Approve corridors and calibrate doors in the sports complex.,"supervise, configure, document, replace, maintain","generators, routers, roofing, desks"
Infrastructure Task 100,Repair signs and document ramps in the auditorium.,"calibrate, repair, plan, document, mark","water tanks, fuel tanks, paint, roofing, wiring"
Infrastructure Task 101,Upgrade UPS and upgrade HVAC units in the administration building.,"test, repair, install, clean","desks, faucets, doors, control panels"
Infrastructure Task 102,Repair handrails and supervise control panels in the library.,"inspect, repair, calibrate, assess","water tanks, pipes, generators, UPS, classrooms"
Infrastructure Task 103,Calibrate walkways and document fiber cables in the auditorium.,"schedule, repair, mark, replace","water tanks, elevators, paint, fiber cables, doors"
Infrastructure Task 104,Design fuel tanks and report switches in the laboratory.,"design, inspect, schedule, monitor","water tanks, paint, elevators, faucets"
Infrastructure Task 105,Approve classrooms and maintain UPS in the sports complex.,"calibrate, replace, repair, maintain, mark","generators, switches, parking sensors, exit signs, pipes"
Infrastructure Task 106,Rectify chairs and replace roofing in the campus grounds.,"configure, mark, calibrate, approve","routers, lighting fixtures, switches, wiring"
Infrastructure Task 107,Upgrade landscaping tools and inspect fire extinguishers in the auditorium.,"audit, calibrate, clean, paint, refuel","exit signs, fuel tanks, routers, elevators"
Infrastructure Task 108,Schedule exit signs and supervise lighting fixtures in the cafeteria.,"repair, rectify, schedule, design","water tanks, control panels, doors, lighting fixtures"
Infrastructure Task 109,Assess switches and install security cameras in the administration building.,"inspect, supervise, replace, plan, document","server room, security cameras, fiber cables, elevators"
Infrastructure Task 110,Mark routers and approve generators in the student hostels.,"mark, report, install, rectify, document","classrooms, solar panels, routers, server room"
Infrastructure Task 111,Verify routers and install generators in the parking lot.,"paint, configure, design, supervise, approve","elevators, landscaping tools, server room, switches"
Infrastructure Task 112,Mark switches and repair elevators in the auditorium.,"clean, supervise, paint, document","paint, walkways, UPS, wiring"
Infrastructure Task 113,Refuel fire extinguishers and audit solar panels in the cafeteria.,"monitor, schedule, clean, mark, report","elevators, roofing, generators, parking sensors"
Infrastructure Task 114,Design generators and replace ramps in the sports complex.,"configure, clean, repair, upgrade","generators, whiteboards, roofing, signs"
Infrastructure Task 115,Replace pipes and maintain parking sensors in the auditorium.,"refuel, schedule, replace, report, document","server room, corridors, landscaping tools, UPS"
Infrastructure Task 116,Clean fuel tanks and refuel switches in the lecture halls.,"monitor, plan, design, install","whiteboards, chairs, signs, paint, UPS"
Infrastructure Task 117,Report water tanks and maintain faucets in the laboratory.,"test, verify, configure, inspect, document","signs, water tanks, walkways, pipes, desks"
Infrastructure Task 118,Document classrooms and mark fuel tanks in the library.,"repair, monitor, design, refuel","fuel tanks, ramps, exit signs, parking sensors, handrails"
Infrastructure Task 119,Plan desks and test paint in the parking lot.,"approve, clean, paint, calibrate, schedule","exit signs, doors, roofing, water tanks"
Infrastructure Task 120,Report routers and install corridors in the library.,"rectify, plan, mark, install","paint, elevators, server room, switches, pipes"
Infrastructure Task 121,Assess fiber cables and test solar panels in the student hostels.,"repair, clean, assess, audit, verify","landscaping tools, control panels, roofing, signs"
Infrastructure Task 122,Paint elevators and calibrate whiteboards in the library.,"supervise, maintain, assess, rectify","wiring, solar panels, pipes, fire extinguishers, server room"
Infrastructure Task 123,Monitor security cameras and approve handrails in the student hostels.,"supervise, document, audit, refuel, assess","corridors, server room, generators, lighting fixtures, faucets"
Infrastructure Task 124,Audit handrails and supervise handrails in the student hostels.,"monitor, paint, upgrade, test","water tanks, security cameras, server room, whiteboards, switches"
Infrastructure Task 125,Clean fiber cables and repair server room in the academic blocks.,"supervise, maintain, verify, refuel, replace","whiteboards, roofing, switches, server room"
Infrastructure Task 126,Monitor parking sensors and inspect pipes in the library.,"configure, install, approve, report","fiber cables, landscaping tools, exit signs, classrooms"
Infrastructure Task 127,Rectify parking sensors and supervise switches in the cafeteria.,"configure, refuel, design, mark, approve","roofing, paint, routers, switches, switches"
Infrastructure Task 128,Mark classrooms and verify roofing in the parking lot.,"test, verify, refuel, assess","faucets, classrooms, exit signs, solar panels"
Infrastructure Task 129,Supervise fuel tanks and paint HVAC units in the student hostels.,"rectify, verify, clean, schedule, assess","routers, fiber cables, wiring, switches"
Infrastructure Task 130,Assess fiber cables and document server room in the laboratory.,"monitor, approve, maintain, plan, configure","fuel tanks, UPS, landscaping tools, server room, paint"
Infrastructure Task 131,Install paint and upgrade water tanks in the administration building.,"refuel, audit, rectify, verify, plan","exit signs, paint, landscaping tools, elevators, handrails"
Infrastructure Task 132,Clean parking sensors and repair faucets in the library.,"clean, install, upgrade, paint","generators, walkways, fire extinguishers, elevators"
Infrastructure Task 133,Assess fiber cables and design switches in the campus grounds.,"monitor, mark, maintain, schedule, approve","exit signs, ramps, server room, fiber cables"
Infrastructure Task 134,Calibrate fire extinguishers and upgrade control panels in the auditorium.,"audit, configure, schedule, approve, clean","faucets, parking sensors, fiber cables, walkways, HVAC units"
Infrastructure Task 135,Test landscaping tools and document lighting fixtures in the library.,"document, configure, plan, inspect, verify","handrails, chairs, faucets, switches"
Infrastructure Task 136,Verify handrails and test wiring in the campus grounds.,"clean, maintain, report, replace","security cameras, chairs, lighting fixtures, desks"
Infrastructure Task 137,Monitor fuel tanks and monitor solar panels in the library.,"report, maintain, assess, mark","landscaping tools, signs, solar panels, fuel tanks, UPS"
Infrastructure Task 138,Monitor walkways and test water tanks in the student hostels.,"rectify, install, test, refuel, audit","corridors, fire extinguishers, control panels, wiring, fiber cables"
Infrastructure Task 139,Audit faucets and test paint in the sports complex.,"repair, report, upgrade, paint, maintain","parking sensors, corridors, wiring, roofing"
Infrastructure Task 140,Rectify doors and replace doors in the campus grounds.,"report, paint, inspect, upgrade, supervise","ramps, fiber cables, faucets, exit signs, switches"
Infrastructure Task 141,Calibrate faucets and monitor faucets in the academic blocks.,"refuel, maintain, assess, report","HVAC units, roofing, fiber cables, wiring"
Infrastructure Task 142,Design walkways and report elevators in the administration building.,"clean, audit, replace, supervise","faucets, UPS, exit signs, corridors"
Infrastructure Task 143,Replace ramps and maintain fiber cables in the student hostels.,"report, mark, rectify, supervise, paint","fuel tanks, security cameras, fiber cables, desks, switches"
Infrastructure Task 144,Maintain pipes and approve switches in the parking lot.,"supervise, clean, mark, report, audit","signs, HVAC units, chairs, control panels, doors"
Infrastructure Task 145,Upgrade pipes and calibrate landscaping tools in the administration building.,"supervise, paint, install, report","desks, routers, control panels, generators"
Infrastructure Task 146,Report desks and clean walkways in the cafeteria.,"approve, report, mark, repair","routers, exit signs, classrooms, switches"
Infrastructure Task 147,Mark UPS and approve roofing in the lecture halls.,"plan, audit, repair, supervise, calibrate","server room, parking sensors, generators, landscaping tools, classrooms"
Infrastructure Task 148,Rectify chairs and monitor switches in the sports complex.,"rectify, test, approve, plan, monitor","walkways, parking sensors, server room, generators"
Infrastructure Task 149,Configure exit signs and assess switches in the academic blocks.,"install, supervise, schedule, rectify, plan","parking sensors, elevators, switches, pipes, switches"
Infrastructure Task 150,Approve walkways and repair ramps in the academic blocks.,"plan, audit, report, configure","exit signs, faucets, parking sensors, wiring"
Infrastructure Task 151,Rectify desks and maintain exit signs in the cafeteria.,"schedule, document, rectify, paint, design","handrails, switches, lighting fixtures, faucets"
Infrastructure Task 152,Verify solar panels and assess routers in the student hostels.,"verify, configure, refuel, repair","routers, fire extinguishers, fuel tanks, water tanks"
Infrastructure Task 153,Audit fiber cables and repair whiteboards in the laboratory.,"upgrade, rectify, calibrate, install, schedule","UPS, server room, landscaping tools, signs, switches"
Infrastructure Task 154,Inspect doors and report security cameras in the administration building.,"paint, configure, calibrate, supervise, design","ramps, pipes, fuel tanks, corridors"
Infrastructure Task 155,Approve UPS and configure roofing in the academic blocks.,"supervise, maintain, report, mark, clean","fuel tanks, walkways, chairs, parking sensors, handrails"
Infrastructure Task 156,Inspect UPS and monitor pipes in the laboratory.,"report, design, replace, inspect","switches, signs, generators, security cameras, server room"
Infrastructure Task 157,Supervise water tanks and inspect parking sensors in the academic blocks.,"refuel, paint, test, install, schedule","pipes, parking sensors, routers, elevators"
Infrastructure Task 158,Plan water tanks and verify fire extinguishers in the library.,"schedule, plan, calibrate, approve, test","generators, pipes, solar panels, ramps, HVAC units"
Infrastructure Task 159,Upgrade handrails and rectify landscaping tools in the auditorium.,"upgrade, document, design, verify","signs, ramps, solar panels, security cameras, fuel tanks"
Infrastructure Task 160,Calibrate signs and audit lighting fixtures in the campus grounds.,"inspect, replace, refuel, install, paint","security cameras, doors, faucets, lighting fixtures"
Infrastructure Task 161,Paint desks and replace classrooms in the sports complex.,"approve, maintain, install, design","parking sensors, lighting fixtures, exit signs, paint, fire extinguishers"
Infrastructure Task 162,Plan control panels and verify wiring in the parking lot.,"repair, inspect, mark, assess","UPS, roofing, fire extinguishers, ramps"
Infrastructure Task 163,Inspect landscaping tools and monitor pipes in the laboratory.,"refuel, inspect, assess, rectify","wiring, doors, desks, whiteboards"
Infrastructure Task 164,Repair server room and configure security cameras in the sports complex.,"clean, schedule, inspect, replace","paint, doors, fuel tanks, walkways"
Infrastructure Task 165,Repair fiber cables and approve exit signs in the cafeteria.,"mark, monitor, repair, design","chairs, server room, security cameras, elevators"
Infrastructure Task 166,Rectify elevators and calibrate exit signs in the library.,"verify, refuel, approve, repair, monitor","wiring, solar panels, fiber cables, paint"
Infrastructure Task 167,Verify desks and design UPS in the auditorium.,"schedule, calibrate, rectify, verify, maintain","HVAC units, pipes, exit signs, walkways"
Infrastructure Task 168,Monitor security cameras and replace signs in the cafeteria.,"assess, verify, clean, maintain","elevators, UPS, whiteboards, ramps, security cameras"
Infrastructure Task 169,Approve solar panels and maintain switches in the laboratory.,"upgrade, clean, document, schedule, maintain","switches, security cameras, water tanks, doors, walkways"
Infrastructure Task 170,Clean pipes and inspect landscaping tools in the library.,"calibrate, upgrade, clean, audit","parking sensors, handrails, control panels, fuel tanks, signs"
Infrastructure Task 171,Report walkways and clean walkways in the laboratory.,"calibrate, maintain, design, configure","signs, chairs, doors, pipes"
Infrastructure Task 172,Inspect corridors and report fiber cables in the administration building.,"document, test, monitor, paint","ramps, pipes, wiring, desks"
Infrastructure Task 173,Clean control panels and audit control panels in the cafeteria.,"document, approve, inspect, test","control panels, whiteboards, generators, water tanks, landscaping tools"
Infrastructure Task 174,Calibrate fire extinguishers and refuel wiring in the parking lot.,"maintain, monitor, paint, schedule","signs, fiber cables, switches, wiring, generators"
Infrastructure Task 175,Report chairs and refuel switches in the library.,"design, supervise, rectify, maintain","routers, handrails, exit signs, switches, lighting fixtures"
Infrastructure Task 176,Clean fuel tanks and clean wiring in the administration building.,"document, verify, report, refuel, paint","roofing, security cameras, routers, fuel tanks, handrails"
Infrastructure Task 177,Clean water tanks and upgrade server room in the laboratory.,"refuel, schedule, replace, supervise","server room, ramps, corridors, switches, UPS"
Infrastructure Task 178,Rectify elevators and replace chairs in the cafeteria.,"audit, refuel, test, calibrate","faucets, classrooms, security cameras, roofing, desks"
Infrastructure Task 179,Rectify roofing and mark UPS in the campus grounds.,"refuel, configure, verify, inspect","fire extinguishers, chairs, signs, fiber cables"
Infrastructure Task 180,Plan fire extinguishers and assess generators in the lecture halls.,"paint, clean, mark, design, assess","control panels, roofing, fuel tanks, ramps"
Infrastructure Task 181,Calibrate generators and refuel pipes in the academic blocks.,"repair, refuel, verify, monitor, design","security cameras, walkways, ramps, control panels"
Infrastructure Task 182,Install switches and assess wiring in the lecture halls.,"monitor, install, test, clean, verify","paint, walkways, UPS, solar panels"
Infrastructure Task 183,Plan signs and configure walkways in the parking lot.,"rectify, test, replace, plan, schedule","generators, HVAC units, paint, roofing"
Infrastructure Task 184,Schedule exit signs and paint switches in the library.,"install, monitor, test, refuel, assess","water tanks, routers, solar panels, roofing, security cameras"
Infrastructure Task 185,Rectify corridors and rectify switches in the lecture halls.,"schedule, paint, audit, supervise, test","desks, routers, ramps, generators"
Infrastructure Task 186,Schedule handrails and supervise UPS in the cafeteria.,"refuel, test, verify, calibrate, paint","desks, UPS, wiring, exit signs, server room"
Infrastructure Task 187,Document elevators and install signs in the sports complex.,"refuel, repair, rectify, replace","fire extinguishers, fiber cables, paint, security cameras"
Infrastructure Task 188,Approve water tanks and test lighting fixtures in the academic blocks.,"maintain, plan, paint, design","parking sensors, lighting fixtures, switches, landscaping tools"
Infrastructure Task 189,Clean UPS and schedule paint in the academic blocks.,"rectify, clean, replace, report","parking sensors, server room, whiteboards, pipes, signs"
Infrastructure Task 190,Assess classrooms and mark lighting fixtures in the campus grounds.,"maintain, plan, supervise, mark, rectify","chairs, roofing, switches, fiber cables"
Infrastructure Task 191,Plan water tanks and verify switches in the sports complex.,"rectify, replace, test, approve, mark","water tanks, HVAC units, pipes, wiring, fuel tanks"
Infrastructure Task 192,Calibrate HVAC units and repair whiteboards in the administration building.,"refuel, repair, monitor, inspect, supervise","faucets, generators, pipes, ramps, classrooms"
Infrastructure Task 193,Refuel parking sensors and approve HVAC units in the administration building.,"assess, configure, maintain, calibrate","desks, chairs, generators, doors"
Infrastructure Task 194,Upgrade exit signs and test parking sensors in the sports complex.,"supervise, test, calibrate, paint","exit signs, fire extinguishers, walkways, pipes"
Infrastructure Task 195,Configure switches and mark landscaping tools in the auditorium.,"approve, document, mark, upgrade","UPS, faucets, landscaping tools, fire extinguishers"
Infrastructure Task 196,Maintain UPS and approve control panels in the campus grounds.,"maintain, clean, install, inspect, calibrate","control panels, solar panels, routers, paint, HVAC units"
Infrastructure Task 197,Test walkways and audit doors in the cafeteria.,"upgrade, maintain, monitor, supervise","fire extinguishers, switches, landscaping tools, signs, chairs"
Infrastructure Task 198,Refuel chairs and report exit signs in the cafeteria.,"install, calibrate, mark, audit","security cameras, server room, paint, switches, handrails"
Infrastructure Task 199,Clean faucets and refuel pipes in the library.,"upgrade, calibrate, design, mark","fire extinguishers, doors, corridors, routers, switches"
Infrastructure Task 200,Assess control panels and mark lighting fixtures in the academic blocks.,"verify, paint, monitor, refuel, test","switches, elevators, faucets, routers, desks"
