Task,Description,Actions,Objects
Faculty Task 5,Manage faculty leave requests and maintain attendance and replacement records.,"receive, approve, assign, record, notify","leave forms, attendance logs, substitute list, calendar"
Faculty Task 6,"Oversee grading, moderation, and publication of final course results.","collect, moderate, finalize, publish, archive","grade sheets, moderation reports, student records, transcripts"
Inventory Task 1,Conduct quarterly stock audit of laboratory consumables and reconcile discrepancies.,"count, reconcile, report, update, order","reagents, glassware, last-mile records, audit sheets"
Inventory Task 2,Manage procurement requests for new classroom equipment and process purchase orders.,"receive, approve, procure, track, invoice","purchase orders, quotes, suppliers, equipment list"
Inventory Task 3,Tag and barcode new assets and update the asset management database.,"label, scan, register, photograph, store","asset tags, barcode scanner, inventory DB, assets"
Inventory Task 4,Coordinate delivery and verification of vendor consignments to central store.,"receive, inspect, verify, store, record","consignment, delivery challan, packing list, warehouse"
Inventory Task 5,Maintain stock of stationery and distribute supplies to departments on request.,"stock, pick, pack, dispatch, log","stationery items, department requests, dispatch list, shelves"
Inventory Task 6,Set reorder levels and automate alerts for critical lab supplies.,"analyze, set, configure, alert, replenish","min-max levels, ERP, alert rules, suppliers"
Robotics Task 1,Perform routine diagnostics and firmware updates for lab robots.,"connect, update, test, log, rollback","robot controllers, firmware files, test bench, cables"
Robotics Task 2,Calibrate sensors and actuators for the mobile robotics fleet.,"calibrate, measure, adjust, validate, record","sensors, actuators, calibration rigs, reports"
Robotics Task 3,Manage battery charging schedules and replacement for robot units.,"schedule, charge, replace, test, document","battery packs, chargers, charging station, logs"
Robotics Task 4,Maintain robotics workshop tools and ensure safety equipment availability.,"inspect, repair, stock, certify, report","tools, PPE, workbenches, safety signs"
Robotics Task 5,Support student robotics projects with hardware access and supervision.,"allocate, supervise, mentor, review, return","development boards, actuators, sensors, project logs"
Robotics Task 6,Implement software backups and version control policies for robot codebase.,"backup, commit, push, tag, verify","git repo, backup storage, release tags, build server"
"Cookery Task","Make a dish of beef fried rice, which consists of cooked rice and fried beef.","pick, wash, cook, chop, fry, add","dish, beef,pot, fryer"
"Cookery Task","Prepare a noodle dish, which consists of cooked noodle, fried mushrooms and shrimp.","pick, cook, chop, fry, add. Wash","noodle, mushroom, shrimp, fryer,  pot,  dish"
"Cookery Task","Make tomato noodle stir-fry, which consists of cooked noodle and fried tomato.","pick. cook, chop, fry, add. Wash","noodle, tomato, fryer, pot,dish"
"Cookery Task",Prepare and bake a cheese and tomato pizza.,"pick, chop,add, bake","dish, dough, cheese, tomato, oven"
"Cookery Task","Prepare chicken and potato stir-fry, which consists of fried chicken and fried potato.","pick, chop,wash,fry, add ","dish, chicken,  potato, fryer"
"Cookery Task","Prepare a baked dish with dough, cheese, tomato, and fried beef.","pick, chop,wash,fry, add, bake","dish, dough, cheese, tomato, beef, fryer,oven"
"Cookery Task","Make chicken fried rice, which consists of fried rice and chicken.","pick, cook, chop,wash,fry, add","dish, rice, chicken, fryer"
"Cookery Task","Prepare beef stir-fried noodle, which consists of cooked noodle and fried beef.","pick, cook, chop,wash,fry, add","dish, noodle, beef, pot, fryer"
"Cookery Task","Prepare a dish of rice topped with Nori seaweed and cooked fish.,"pick,cook,wash, add","dish, rice,fish,  Nori seaweed, pot"
"Cookery Task","Prepare beef and tomato stir-fry, which consists of cooked beef and fried tomato.","pick, cook,wash, add, fry, chop, ","dish, beef, tomato,pot, fryer"
"Cookery Task","Make a cup of tea.,"wash, activate, pour, brew ","cup, teapot, kettle, tea"
"Cookery Task","Prepare beef stir-fry, which consists of cooked beef and fried vegetables.","pick, cook,chop,wash,fry, add","dish, beef, vegetables, pot, fryer"
"Cookery Task","Make a cup of tea.,"wash, activate, pour, brew ","cup, teapot, kettle, tea"
"Cookery Task","Clean the dishes using the dishwasher and dispose trash.,"gather, scrape , place, activate","cup, dishes, trash, dishwasher"
"Cookery Task","Wash and hang laundry.,"gather, add , place , activate, hang","clothes, detergent, washing_machine"
"Cookery Task","Maintenance of fruit trees.,"add, trim, water","watering_can, fruit_tree, water"
"Cookery Task","Prepare a garden bed for planting flowers through weeding and hoeing.,"add ,plant, hoe","land, sprinkling_can, flower"
"Cookery Task","Iron a suit and store it.,"set up, put suit on, heat, iron, store","ironing_board, iron suit, store suit"
"Cookery Task","Make a cup of coffee.,"add, activate, pour, wash","coffee beans, water, coffee_machine, cup"
"Cookery Task","Sweep and mop the floor, then store the mop and sweeper.","activate, rinse, mop, store","faucet, mop, floor, sweeper"
"Cookery Task","Enjoy a cozy morning with the latest news and entertainment.,"find, read, fold, activate","newspaper, quilt, radio"
"Cookery Task","Clean and freshen up the living space and air.,"wash, wipe, activate","rag, table, air_purifier, coffee_table"
"Cookery Task","Prepare heated solution in test tube.,"wash, add, heat","test_tube, solution"
"Cookery Task","Prepare crystallized copper sulfate.,"wash, find, dilute, add, cut, heat","sulfuric_acid, sodium_flakes, beaker"
"Cookery Task","Prepare a ferrous sulfate solution using a magnetic stirrer.,"pick, stir, dissolve, wash","magnetic_sitrrer, ferrous_sulfate, beaker, solution"
"Cookery Task","Prepare a mixture of sulfuric acid and sodium.,"find, dilute, pick, polish, soak","copper_sulfate_solution, iron_nail "
"Cookery Task","Perform a chemical reaction between iron and copper sulfate to create a copper-coated iron nail.,"wash, find, dissolve, pick, cut, heat, add","beaker, sodium_hydroxide, aluminum_foil"
"Cookery Task","Perform an experiment with disolved sodium hydroxide and heated aluminum.,"wash, find, dilute, add, pick, crush, heat","beaker, nitric_acid, zinc_pellet"
"Cookery Task","Prepare a diluted nitric acid and zinc mixture.,"wash, find, add, dry, cool, heat","beaker, ethanol, acetic_acid, catalyst"
"Cookery Task","Find all chemicals to synthesize ethyl acetate by heating, cooling and drying.","pick, dissolve, wash, put, label","salt, test_tube, ph_paper"
"Cookery Task","Perform a pH test on salt solution and label the salt.,"find, add, heat, wash, cool, dry","benzyl_alcohol, beaker, oxidizing_agent"
"Cookery Task","Add chemicals to beaker and synthesize benzaldehyde by heating, cooling and drying.","filter, find, heat, cryztallize",copper_sulfate_solution
